time,mean_price
0,100.0259615118488
1,100.03537614966376
2,100.03452119065199
3,100.06404841593016
4,100.08811261551567
5,100.10107635503101
6,100.13764721716501
7,100.13542654833186
8,100.16605924076971
9,100.209549274027
10,100.22235060139728
11,100.2389230250023
12,100.24824531910097
13,100.23467542087988
14,100.26729060036412
15,100.2848329835039
16,100.29108944193575
17,100.2879803566758
18,100.28971789633289
19,100.29935323920311
20,100.30995282427513
