路径ID,GAN收益率,普通策略收益率,收益放大倍数,是否曾激活,最终价格,最高价格,最低价格,价格区间,实现波动率,初始价格,激活中心,激活带宽
0,-0.04984516675594832,1.0521825506640183,-0.04737311669395363,True,90.61559227424578,100.86509329159749,90.01121007860185,10.85388321299564,0.0033658372934546313,100,100,2
1,-0.04921287535267349,-0.9178850601212358,0.05361550970899708,True,100.37550269392398,100.99284254828011,96.40381462705581,4.5890279212243,0.003268468448772305,100,100,2
2,-0.049630076888646395,-0.8478309029649402,0.05853770688834954,True,99.30414726049844,102.3745734434682,94.8920451428454,7.482528300622789,0.0033675169153441517,100,100,2
3,-0.04996946743206447,-0.2468465227321798,0.20243131999181396,True,103.44408898149136,111.63436558289759,100.0,11.634365582897587,0.003181185773215874,100,100,2
4,-0.049679640178130875,0.10938656531627627,-0.4541658295466998,True,94.92689583047407,101.2062208888575,93.76895442498213,7.437266463875375,0.003357648376179755,100,100,2
5,-0.04962670599685861,-0.06432430220100305,0.7715078795846579,True,104.2787432552646,106.00365703374871,98.29975250821747,7.703904525531243,0.0033759376706809898,100,100,2
6,-0.04989784378482941,1.6419775010745217,-0.0303888718037707,True,112.0814759214916,113.70347591115241,99.86908822794686,13.834387683205549,0.0032454910887571103,100,100,2
7,-0.0497111168236983,-0.3199174729601981,0.1553873139960786,True,103.1099434691313,106.57416427355022,98.68497751488805,7.889186758662177,0.0034358688889201496,100,100,2
8,-0.049466346457363704,0.6235560366395401,-0.0793294324018529,True,92.57565472988497,100.99094917013194,92.13049777463243,8.86045139549951,0.0034122045580120774,100,100,2
9,-0.04982019885276767,0.9468070900899005,-0.05261916537616674,True,108.90253719917914,109.57511960704973,98.00898818624832,11.566131420801412,0.0032285809444065642,100,100,2
10,-0.04982737794049211,0.39743294482691754,-0.12537304365190957,True,106.39030895151794,109.10029869660403,97.95018889131899,11.150109805285041,0.0034565598579031926,100,100,2
11,-0.04949369757931818,0.03275641868852084,-1.5109618072094906,True,104.72268283892525,106.87045920544078,96.91712627686378,9.953332928576998,0.0033036302003595567,100,100,2
12,-0.04960343602527346,-0.7065044234234708,0.07020966094580518,True,98.65787663216985,100.47035299686414,95.38591198042035,5.08444101644379,0.0034115573092219956,100,100,2
13,-0.0497847051501125,0.06358286099576056,-0.7829893837811408,True,95.13635119133099,106.77246483319622,94.15107352242487,12.621391310771358,0.003548812469045902,100,100,2
14,-0.04940195204293305,-0.34281554035029316,0.14410651276909303,True,103.00523309604537,105.26208274407824,96.79392057025333,8.468162173824908,0.003246456988092009,100,100,2
15,-0.049603326733549294,0.923919141850697,-0.05368795220996197,True,108.79787309987026,109.20258535108974,97.74896364831683,11.453621702772907,0.0032708399249517387,100,100,2
16,-0.04971822535758771,-0.8565235565789223,0.05804653587832355,True,99.34389782055752,100.05365704569986,93.96642858825194,6.087228457447921,0.0031549068570902363,100,100,2
17,-0.04957468596453332,0.07669859617043054,-0.6463571491500878,True,95.07637436009719,103.02356889824298,91.76330096794827,11.260267930294717,0.0034109552518161636,100,100,2
18,-0.04963485840971536,0.15311736952575722,-0.32416216764594985,True,105.27308038350559,105.36091723407115,95.12514394066528,10.23577329340587,0.0035782621501595896,100,100,2
19,-0.049903362918966444,-0.33123361977697163,0.15065911169454266,True,103.05819595983748,106.02948907476673,100.0,6.02948907476673,0.0033675250141827,100,100,2
20,-0.0498955978859861,0.2177519497678261,-0.22913961477353628,True,105.56864729297877,109.25805145190738,99.39080500617881,9.867246445728568,0.0033946509914205376,100,100,2
21,-0.04966554084459975,-0.6249957099104142,0.07946541081332978,True,98.28514614551761,106.11680463805872,96.97495128174042,9.141853356318308,0.0031273800360839717,100,100,2
22,-0.049791008385787025,0.647411982023642,-0.0769077647129008,True,107.53343591514331,107.88451848147062,95.77480249351487,12.109715987955752,0.003150143572965301,100,100,2
23,-0.04967762571795014,0.5963452182109286,-0.08330346953562569,True,107.29991315533901,107.35599157548617,97.66600647052556,9.689985104960613,0.003142696965597322,100,100,2
24,-0.04966492001967504,0.6264475214017335,-0.07928025624324483,True,92.56243228438058,101.62571461768052,92.08925369693856,9.536460920741959,0.003217966524929348,100,100,2
25,-0.049107218796080744,-0.8583256634563502,0.05721280498398854,True,100.64786134058646,102.30768563445346,96.17145946577122,6.136226168682242,0.003461559311660608,100,100,2
26,-0.04994260859792179,-0.1864747362857161,0.2678250662406078,True,103.72016259831578,110.4587082223731,99.71738467865195,10.741323543721151,0.003453639252445903,100,100,2
27,-0.049972995090495326,0.20446498853546458,-0.24440856817805498,True,94.49211253640406,100.09897591839153,89.36254610281712,10.736429815574411,0.003282110675429612,100,100,2
28,-0.04954149091105047,-0.6422824060871017,0.07713350146529159,True,98.3641963280176,100.88356134849276,91.64720812801517,9.236353220477596,0.0033616626448470977,100,100,2
29,-0.04933199470726385,-0.3857766426809959,0.1278770906512792,True,97.19122335491154,105.12863798729207,97.14765669200318,7.980981295288885,0.003327159827043125,100,100,2
30,-0.04933741683773751,-0.41275667042260955,0.11953148276737083,True,97.31460008896356,102.3480884548114,95.70833721171782,6.639751243093585,0.0033136994570962565,100,100,2
31,-0.04957298303693744,-0.3743513751187348,0.13242367019812373,True,102.86102315168964,106.1620605311304,95.32669054529929,10.835369985831107,0.003274536833106788,100,100,2
32,-0.04994925872854042,0.7195258611970529,-0.06941968513187474,True,92.13679515439283,100.0,91.04069133959867,8.959308660401334,0.003155917630200853,100,100,2
